"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2010"",19.09825,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2011"",17.695917,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2012"",19.5775,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2013"",19.570583,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2014"",20.7575,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2015"",24.59875,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2016"",24.439917,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2017"",23.376333,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2018"",21.729917,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2019"",22.93225,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2020"",23.21025,"
"CZE,""EXCH"",""TOT"",""NATUSD"",""A"",""2021"",21.678167,"
