Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=122.ICP.A.DE.N.000000.4.AVR
,ICP.A.DE.N.000000.4.AVR
,"Germany - HICP - Overall index, Annual average rate of change, Eurostat, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
,,obs. status,obs. comment
2021,3.2,Normal value (A),
2020,0.4,Normal value (A),
2019,1.4,Normal value (A),
2018,1.9,Normal value (A),
2017,1.7,Normal value (A),
2016,0.4,Normal value (A),
2015,0.7,Normal value (A),
2014,0.8,Normal value (A),
2013,1.6,Normal value (A),
2012,2.2,Normal value (A),
2011,2.5,Normal value (A),
2010,1.1,Normal value (A),
2009,0.2,Normal value (A),
2008,2.8,Normal value (A),
2007,2.3,Normal value (A),
2006,1.8,Normal value (A),
2005,1.9,Normal value (A),
2004,1.8,Normal value (A),
2003,1.1,Normal value (A),
2002,1.3,Normal value (A),
2001,1.9,Normal value (A),
2000,1.4,Normal value (A),
1999,0.6,Normal value (A),
1998,0.6,Normal value (A),
1997,1.5,Normal value (A),
1996,0.6,Normal value (A),ECB estimate
1995,0.2,Normal value (A),ECB estimate
1994,2.2,Normal value (A),ECB estimate
1993,3.2,Normal value (A),ECB estimate
1992,3.8,Normal value (A),ECB estimate
1991,3.6,Normal value (A),ECB estimate
1990,2.7,Normal value (A),ECB estimate
1989,2.6,Normal value (A),ECB estimate
1988,0.9,Normal value (A),ECB estimate
1987,-0.1,Normal value (A),ECB estimate
1986,-0.6,Normal value (A),ECB estimate
