Period,hicp,value,
2022Oct,16.4,Normal value (A),
2022Sep,15.7,Normal value (A),
2022Aug,14.8,Normal value (A),
2022Jul,14.2,Normal value (A),
2022Jun,14.2,Normal value (A),
2022May,12.8,Normal value (A),
2022Apr,11.4,Normal value (A),
2022Mar,10.2,Normal value (A),
2022Feb,8.1,Normal value (A),
2022Jan,8.7,Normal value (A),
2021Dec,8.0,Normal value (A),
2021Nov,7.4,Normal value (A),
2021Oct,6.4,Normal value (A),
2021Sep,5.6,Normal value (A),
2021Aug,5.0,Normal value (A),
2021Jul,4.7,Normal value (A),
2021Jun,4.1,Normal value (A),
2021May,4.6,Normal value (A),
2021Apr,5.1,Normal value (A),
2021Mar,4.4,Normal value (A),
2021Feb,3.6,Normal value (A),
2021Jan,3.6,Normal value (A),
2020Dec,3.4,Normal value (A),
2020Nov,3.7,Normal value (A),
2020Oct,3.8,Normal value (A),
2020Sep,3.8,Normal value (A),
2020Aug,3.7,Normal value (A),
2020Jul,3.7,Normal value (A),
2020Jun,3.8,Normal value (A),
2020May,3.4,Normal value (A),
2020Apr,2.9,Normal value (A),
2020Mar,3.9,Normal value (A),
2020Feb,4.1,Normal value (A),
2020Jan,3.8,Normal value (A),
2019Dec,3.0,Normal value (A),
2019Nov,2.4,Normal value (A),
2019Oct,2.3,Normal value (A),
2019Sep,2.4,Normal value (A),
2019Aug,2.6,Normal value (A),
2019Jul,2.5,Normal value (A),
2019Jun,2.3,Normal value (A),
2019May,2.2,Normal value (A),
2019Apr,2.1,Normal value (A),
2019Mar,1.7,Normal value (A),
2019Feb,1.3,Normal value (A),
2019Jan,0.6,Normal value (A),
2018Dec,0.9,Normal value (A),
2018Nov,1.1,Normal value (A),
2018Oct,1.5,Normal value (A),
2018Sep,1.5,Normal value (A),
2018Aug,1.4,Normal value (A),
2018Jul,1.4,Normal value (A),
2018Jun,1.4,Normal value (A),
2018May,1.2,Normal value (A),
2018Apr,0.9,Normal value (A),
2018Mar,0.7,Normal value (A),
2018Feb,0.7,Normal value (A),
2018Jan,1.6,Normal value (A),
2017Dec,1.7,Normal value (A),
2017Nov,2.0,Normal value (A),
2017Oct,1.6,Normal value (A),
2017Sep,1.6,Normal value (A),
2017Aug,1.4,Normal value (A),
2017Jul,1.4,Normal value (A),
2017Jun,1.3,Normal value (A),
2017May,1.5,Normal value (A),
2017Apr,1.8,Normal value (A),
2017Mar,1.8,Normal value (A),
2017Feb,1.9,Normal value (A),
2017Jan,1.4,Normal value (A),
2016Dec,0.9,Normal value (A),
2016Nov,0.2,Normal value (A),
2016Oct,0.1,Normal value (A),
2016Sep,-0.2,Normal value (A),
2016Aug,-0.5,Normal value (A),
2016Jul,-0.6,Normal value (A),
2016Jun,-0.4,Normal value (A),
2016May,-0.4,Normal value (A),
2016Apr,-0.5,Normal value (A),
2016Mar,-0.4,Normal value (A),
2016Feb,-0.2,Normal value (A),
2016Jan,-0.3,Normal value (A),
2015Dec,-0.4,Normal value (A),
2015Nov,-0.5,Normal value (A),
2015Oct,-0.6,Normal value (A),
2015Sep,-0.6,Normal value (A),
2015Aug,-0.4,Normal value (A),
2015Jul,-0.4,Normal value (A),
2015Jun,-0.5,Normal value (A),
2015May,-0.6,Normal value (A),
2015Apr,-0.8,Normal value (A),
2015Mar,-1.2,Normal value (A),
2015Feb,-1.3,Normal value (A),
2015Jan,-1.1,Normal value (A),
2014Dec,-0.7,Normal value (A),
2014Nov,-0.3,Normal value (A),
2014Oct,-0.3,Normal value (A),
2014Sep,-0.3,Normal value (A),
2014Aug,-0.1,Normal value (A),
2014Jul,-0.1,Normal value (A),
2014Jun,0.3,Normal value (A),
2014May,0.3,Normal value (A),
2014Apr,0.3,Normal value (A),
2014Mar,0.6,Normal value (A),
2014Feb,0.7,Normal value (A),
2014Jan,0.6,Normal value (A),
