Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=320.MNA.A.N.I8.W2.S1.S1._Z.COM_HW._Z.A._Z.IX.V.N
,MNA.A.N.I8.W2.S1.S1._Z.COM_HW._Z.A._Z.IX.V.N
,"Hourly compensation - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Agriculture, forestry and fishing, Index, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,
,,obs. status
2021,111.14,Normal value (A)
2020,109.95,Normal value (A)
2019,106.00,Normal value (A)
2018,102.89,Normal value (A)
2017,101.52,Normal value (A)
2016,99.34,Normal value (A)
2015,100.00,Normal value (A)
2014,99.90,Normal value (A)
2013,98.89,Normal value (A)
2012,96.61,Normal value (A)
2011,94.54,Normal value (A)
2010,92.40,Normal value (A)
2009,92.02,Normal value (A)
2008,90.11,Normal value (A)
2007,88.45,Normal value (A)
2006,84.05,Normal value (A)
2005,84.50,Normal value (A)
2004,79.35,Normal value (A)
2003,76.01,Normal value (A)
2002,73.40,Normal value (A)
2001,70.01,Normal value (A)
2000,68.06,Normal value (A)
1999,65.71,Normal value (A)
1998,64.08,Normal value (A)
1997,63.15,Normal value (A)
1996,62.05,Normal value (A)
1995,60.44,Normal value (A)
