Open,Close,High,Low,Volume,Date
4.49075,4.48255,4.50495,4.45635,,12/06/22
4.43425,4.49025,4.49585,4.41345,,12/05/22
4.442,4.43705,4.44275,4.43315,,12/04/22
4.437,4.43685,4.44445,4.43685,,12/03/22
4.45625,4.43425,4.49695,4.43305,,12/02/22
4.48495,4.45765,4.51605,4.44925,,12/01/22
4.52815,4.48665,4.54335,4.47745,,11/30/22
4.52995,4.53035,4.53285,4.49585,,11/29/22
4.51205,4.53095,4.54075,4.46035,,11/28/22
4.5137,4.52385,4.5246,4.51355,,11/27/22
4.51155,4.51145,4.51155,4.51145,,11/26/22
4.51335,4.51205,4.53195,4.49925,,11/25/22
4.52145,4.51365,4.52915,4.50105,,11/24/22
4.56725,4.52575,4.57115,4.51875,,11/23/22
4.58775,4.56595,4.59645,4.56465,,11/22/22
4.55165,4.58585,4.60835,4.55115,,11/21/22
4.55425,4.55305,4.5565,4.5505,,11/20/22
4.5516,4.5518,4.5518,4.5516,,11/19/22
4.54205,4.55165,4.56065,4.52395,,11/18/22
4.52155,4.54175,4.57455,4.50765,,11/17/22
4.57695,4.51675,4.62545,4.50005,,11/16/22
4.56415,4.57615,4.61305,4.47535,,11/15/22
4.52415,4.56245,4.56955,4.51725,,11/14/22
4.51565,4.53535,4.53675,4.5136,,11/13/22
4.52415,4.52405,4.52415,4.52315,,11/12/22
4.59605,4.52415,4.61315,4.51445,,11/11/22
4.70795,4.59705,4.74835,4.58755,,11/10/22
4.65545,4.70745,4.71695,4.64605,,11/09/22
4.66235,4.65275,4.70445,4.64155,,11/08/22
4.70535,4.66265,4.73165,4.65725,,11/07/22
4.70535,4.72195,4.7324,4.70535,,11/06/22
4.70535,4.70525,4.70535,4.70495,,11/05/22
4.81615,4.70535,4.81825,4.70145,,11/04/22
4.79355,4.81615,4.84415,4.77895,,11/03/22
4.76405,4.79285,4.79655,4.71255,,11/02/22
4.77135,4.76405,4.77315,4.72895,,11/01/22
4.73455,4.77175,4.78115,4.73265,,10/31/22
4.73405,4.73405,4.73405,4.73405,,10/30/22
4.73405,4.73405,4.73405,4.73405,,10/29/22
4.73795,4.73455,4.76335,4.72385,,10/28/22
4.70715,4.73945,4.75315,4.69665,,10/27/22
4.78395,4.70585,4.79505,4.70155,,10/26/22
4.84675,4.78215,4.85765,4.76905,,10/25/22
4.84315,4.84775,4.88555,4.83385,,10/24/22
4.84375,4.83445,4.8479,4.83385,,10/23/22
4.8434,4.84375,4.84375,4.84295,,10/22/22
4.87515,4.84315,4.93225,4.83485,,10/21/22
4.91325,4.87395,4.92845,4.84155,,10/20/22
4.85505,4.91295,4.92045,4.84955,,10/19/22
4.87485,4.85405,4.90055,4.85035,,10/18/22
4.93955,4.87515,4.98515,4.87215,,10/17/22
4.9383,4.94805,4.95355,4.9383,,10/16/22
4.93955,4.9382,4.93955,4.9382,,10/15/22
4.91765,4.93955,4.97555,4.89055,,10/14/22
4.99195,4.91365,5.03195,4.89725,,10/13/22
4.99445,4.99505,5.01435,4.97695,,10/12/22
5.00405,4.99415,5.02915,4.94535,,10/11/22
4.98875,5.00365,5.04155,4.98465,,10/10/22
4.99075,4.9923,4.9933,4.99045,,10/09/22
4.98885,4.99075,4.99085,4.98865,,10/08/22
4.98665,4.98875,5.00905,4.94785,,10/07/22
4.87435,4.98785,4.99455,4.85595,,10/06/22
4.82235,4.87755,4.91685,4.80765,,10/05/22
4.91295,4.82205,4.92315,4.81255,,10/04/22
4.95425,4.91405,4.96635,4.89645,,10/03/22
4.95175,4.946,4.96585,4.9411,,10/02/22
4.9517,4.95175,4.95175,4.9517,,10/01/22
4.94475,4.95425,4.99145,4.92485,,09/30/22
4.93995,4.94365,5.05025,4.93995,,09/29/22
4.98845,4.93985,5.06035,4.92785,,09/28/22
4.95015,4.98875,5.00305,4.91325,,09/27/22
4.91025,4.95035,4.95355,4.89935,,09/26/22
4.89635,4.89635,4.89635,4.89635,,09/25/22
4.89515,4.89635,4.9088,4.89515,,09/24/22
4.83345,4.91025,4.92145,4.82305,,09/23/22
4.85245,4.83095,4.87575,4.81465,,09/22/22
4.74365,4.85565,4.86545,4.73725,,09/21/22
4.69525,4.74565,4.76165,4.68175,,09/20/22
4.71285,4.69485,4.73555,4.68955,,09/19/22
4.71335,4.71605,4.7197,4.7106,,09/18/22
4.71395,4.71335,4.71395,4.71265,,09/17/22
4.72545,4.71285,4.74775,4.70315,,09/16/22
4.72595,4.72675,4.74715,4.71545,,09/15/22
4.73465,4.72605,4.74645,4.70825,,09/14/22
4.64075,4.73425,4.73615,4.61735,,09/13/22
4.67405,4.64075,4.67405,4.60445,,09/12/22
4.67415,4.65405,4.67415,4.64295,,09/11/22
4.674,4.67415,4.67445,4.67395,,09/10/22
4.70735,4.67405,4.70915,4.65345,,09/09/22
4.70935,4.70725,4.74685,4.69715,,09/08/22
4.77295,4.70605,4.79665,4.70105,,09/07/22
4.75585,4.77415,4.78515,4.71195,,09/06/22
4.74065,4.75075,4.79355,4.74065,,09/05/22
4.7412,4.753,4.7553,4.7394,,09/04/22
4.74065,4.7412,4.7412,4.74065,,09/03/22
4.74205,4.74065,4.75165,4.68305,,09/02/22
4.69875,4.74285,4.75965,4.68975,,09/01/22
4.71805,4.69995,4.75105,4.68325,,08/31/22
4.73415,4.71725,4.74385,4.70245,,08/30/22
4.75285,4.73495,4.79075,4.71535,,08/29/22
4.75255,4.75865,4.7628,4.75055,,08/28/22
4.75255,4.75255,4.75255,4.75255,,08/27/22
4.75255,4.75285,4.76325,4.70625,,08/26/22
4.78235,4.75515,4.78645,4.74325,,08/25/22
4.78475,4.78285,4.81525,4.76595,,08/24/22
4.79165,4.78855,4.82305,4.76635,,08/23/22
4.73135,4.79175,4.80215,4.72485,,08/22/22
4.73185,4.7305,4.735,4.7284,,08/21/22
4.7315,4.7319,4.7319,4.7313,,08/20/22
4.68415,4.73135,4.73595,4.67965,,08/19/22
4.62075,4.68475,4.69685,4.61365,,08/18/22
4.59685,4.62165,4.63705,4.57715,,08/17/22
4.60865,4.59805,4.64655,4.58105,,08/16/22
4.54005,4.60845,4.61565,4.53855,,08/15/22
4.5365,4.54355,4.54505,4.5289,,08/14/22
4.5365,4.5365,4.5365,4.5365,,08/13/22
4.53825,4.54005,4.56035,4.53435,,08/12/22
4.53995,4.53895,4.55305,4.51365,,08/11/22
4.60255,4.54035,4.62165,4.50815,,08/10/22
4.60975,4.60185,4.61945,4.58745,,08/09/22
4.62595,4.60855,4.63805,4.59745,,08/08/22
4.62475,4.63105,4.63315,4.6228,,08/07/22
4.62595,4.62475,4.62795,4.62195,,08/06/22
4.58985,4.62595,4.64325,4.58705,,08/05/22
4.61865,4.59855,4.64535,4.59575,,08/04/22
4.65165,4.61935,4.66205,4.59775,,08/03/22
4.59465,4.65175,4.65295,4.58195,,08/02/22
4.63405,4.59615,4.64595,4.58305,,08/01/22
4.63485,4.63485,4.63485,4.63485,,07/31/22
4.63405,4.63485,4.63485,4.63345,,07/30/22
