Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Czechia,Food,Price per Unit,Average,USD (US$),Statista,2.622,2.226,2.262,2.432,2.682,2.619,2.679,3,3.36,3.368,3.434,3.502,3.57,3.641
Czechia,Food,Price per Unit,Baby Food,USD (US$),Statista,3.976,3.473,3.627,4.001,4.524,4.533,4.671,5.286,5.76,5.893,6.01,6.131,6.253,6.378
Czechia,Food,Price per Unit,Bread & Cereal Products,USD (US$),Statista,1.308,1.095,1.097,1.162,1.262,1.215,1.241,1.384,1.513,1.54,1.568,1.597,1.628,1.65
Czechia,Food,Price per Unit,Confectionery & Snacks,USD (US$),Statista,5.088,4.315,4.299,4.589,5.035,4.904,5.017,5.617,6.11,6.242,6.35,6.462,6.589,6.676
Czechia,Food,Price per Unit,Convenience Food,USD (US$),Statista,4.337,3.666,3.75,4.024,4.439,4.345,4.44,4.974,5.416,5.536,5.642,5.751,5.867,5.976
Czechia,Food,Price per Unit,Dairy Products & Eggs,USD (US$),Statista,2.255,1.864,1.842,1.924,2.06,1.958,1.964,2.155,2.346,2.398,2.446,2.494,2.543,2.601
Czechia,Food,Price per Unit,Fish & Seafood,USD (US$),Statista,13.9,12.19,12.78,14.16,16.07,16.18,16.73,19,21.02,21.33,21.78,22.23,22.68,23.21
Czechia,Food,Price per Unit,Fruits & Nuts,USD (US$),Statista,2.068,1.79,1.854,2.03,2.279,2.269,2.343,2.649,2.879,2.95,3.014,3.079,3.14,3.212
Czechia,Food,Price per Unit,Meat,USD (US$),Statista,6.957,5.884,5.943,6.338,6.971,6.79,6.928,7.747,8.493,8.718,8.935,9.157,9.346,9.608
Czechia,Food,Price per Unit,Oils & Fats,USD (US$),Statista,6.073,5.329,5.599,6.217,7.082,7.155,7.378,8.378,9.304,9.387,9.573,9.766,9.958,10.15
Czechia,Food,Price per Unit,Pet Food,USD (US$),Statista,1.65,1.43,1.49,1.64,1.84,1.84,1.786,1.999,2.178,2.228,2.272,2.318,2.364,2.411
Czechia,Food,Price per Unit,Sauces & Spices,USD (US$),Statista,2.995,2.542,2.582,2.772,3.051,2.977,3.041,3.403,3.713,3.803,3.881,3.962,4.041,4.121
Czechia,Food,Price per Unit,Spreads & Sweeteners,USD (US$),Statista,2.412,2.009,1.999,2.106,2.276,2.182,2.2,2.434,2.68,2.694,2.738,2.784,2.829,2.841
