Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Germany,Dairy Products & Eggs,Price per Unit,Average,USD (US$),Statista,2.773,2.35,2.372,2.48,2.661,2.574,2.642,2.901,3.057,3.143,3.2,3.257,3.314,3.382
Germany,Dairy Products & Eggs,Price per Unit,Cheese,USD (US$),Statista,6.778,5.704,5.715,5.937,6.338,6.093,6.285,6.898,7.275,7.486,7.624,7.763,7.91,8.07
Germany,Dairy Products & Eggs,Price per Unit,Eggs,USD (US$),Statista,3.198,2.722,2.758,2.897,3.127,3.039,3.104,3.409,3.595,3.699,3.767,3.836,3.909,3.987
Germany,Dairy Products & Eggs,Price per Unit,Milk,USD (US$),Statista,1.025,0.866,0.871,0.907,0.972,0.937,0.962,1.052,1.11,1.142,1.163,1.184,1.207,1.231
Germany,Dairy Products & Eggs,Price per Unit,Milk Substitutes,USD (US$),Statista,2.135,1.879,1.975,1.964,1.862,1.807,1.784,2.038,2.149,2.212,2.252,2.294,2.337,2.384
Germany,Dairy Products & Eggs,Price per Unit,Other Dairy Products & Eggs,USD (US$),Statista,3.607,3.058,3.086,3.229,3.472,3.361,3.461,3.803,4.011,4.128,4.203,4.28,4.361,4.449
Germany,Dairy Products & Eggs,Price per Unit,Yogurt,USD (US$),Statista,3.426,2.939,3,3.174,3.45,3.376,3.492,3.854,4.065,4.183,4.259,4.337,4.42,4.509
Germany,Dairy Products & Eggs,Revenue,Total,billion USD (US$),Statista,31.13,26.91,27.53,28.87,31.92,31.13,32.69,36.16,38.77,40.48,41.97,43.52,45.23,46.84
Germany,Dairy Products & Eggs,Revenue,Cheese,billion USD (US$),Statista,9.944,8.598,8.798,9.225,10.21,9.945,10.42,11.51,12.33,12.87,13.33,13.81,14.33,14.99
Germany,Dairy Products & Eggs,Revenue,Eggs,billion USD (US$),Statista,3.192,2.771,2.848,2.999,3.333,3.26,3.429,3.804,4.091,4.285,4.452,4.624,4.794,4.954
Germany,Dairy Products & Eggs,Revenue,Milk,billion USD (US$),Statista,5.279,4.546,4.634,4.84,5.335,5.177,5.4,5.944,6.359,6.624,6.838,7.058,7.327,7.568
Germany,Dairy Products & Eggs,Revenue,Milk Substitutes,billion USD (US$),Statista,0.162,0.158,0.184,0.22,0.257,0.309,0.446,0.559,0.685,0.809,0.94,1.103,1.249,1.417
Germany,Dairy Products & Eggs,Revenue,Other Dairy Products & Eggs,billion USD (US$),Statista,8.539,7.372,7.532,7.885,8.712,8.474,8.861,9.776,10.45,10.87,11.23,11.6,12.02,12.38
Germany,Dairy Products & Eggs,Revenue,Yogurt,billion USD (US$),Statista,4.015,3.462,3.534,3.696,4.079,3.964,4.141,4.564,4.853,5.028,5.173,5.324,5.505,5.534
Germany,Dairy Products & Eggs,Revenue Change,Total,percent,Statista,,-13.556,2.304,4.867,10.565,-2.475,5.011,10.615,7.218,4.411,3.681,3.693,3.929,3.56
Germany,Dairy Products & Eggs,Revenue Change,Cheese,percent,Statista,,-13.536,2.326,4.853,10.678,-2.595,4.776,10.461,7.124,4.38,3.574,3.601,3.765,4.606
Germany,Dairy Products & Eggs,Revenue Change,Eggs,percent,Statista,,-13.189,2.779,5.302,11.137,-2.19,5.184,10.936,7.545,4.742,3.897,3.863,3.676,3.338
Germany,Dairy Products & Eggs,Revenue Change,Milk,percent,Statista,,-13.885,1.936,4.445,10.227,-2.962,4.308,10.074,6.982,4.167,3.231,3.217,3.811,3.289
Germany,Dairy Products & Eggs,Revenue Change,Milk Substitutes,percent,Statista,,-2.288,16.646,19.425,16.765,20.233,44.337,25.381,22.443,18.183,16.152,17.353,13.237,13.451
Germany,Dairy Products & Eggs,Revenue Change,Other Dairy Products & Eggs,percent,Statista,,-13.667,2.17,4.687,10.488,-2.732,4.567,10.326,6.894,4.019,3.312,3.295,3.621,2.995
Germany,Dairy Products & Eggs,Revenue Change,Yogurt,percent,Statista,,-13.773,2.08,4.584,10.363,-2.819,4.465,10.215,6.332,3.606,2.884,2.919,3.4,0.527
Germany,Dairy Products & Eggs,Average Revenue per Capita,Total,USD (US$),Statista,382.2,329,335,349.2,384.1,372.7,390.2,430.9,462.2,483.2,501.8,521.1,542.1,562
Germany,Dairy Products & Eggs,Average Revenue per Capita,Cheese,USD (US$),Statista,122.1,105.1,107,111.6,122.8,119.1,124.3,137.2,147,153.6,159.4,165.3,171.7,179.8
Germany,Dairy Products & Eggs,Average Revenue per Capita,Eggs,USD (US$),Statista,39.18,33.88,34.65,36.28,40.09,39.04,40.92,45.34,48.78,51.15,53.23,55.37,57.46,59.44
Germany,Dairy Products & Eggs,Average Revenue per Capita,Milk,USD (US$),Statista,64.81,55.59,56.38,58.55,64.18,61.99,64.46,70.84,75.81,79.06,81.76,84.51,87.83,90.8
Germany,Dairy Products & Eggs,Average Revenue per Capita,Milk Substitutes,USD (US$),Statista,1.985,1.931,2.242,2.662,3.241,3.74,5.394,6.665,7.829,9.106,10.59,12.29,14.25,16.41
Germany,Dairy Products & Eggs,Average Revenue per Capita,Other Dairy Products & Eggs,USD (US$),Statista,104.8,90.13,91.64,95.39,104.8,101.5,105.8,116.5,124.5,129.8,134.3,138.9,144.1,148.5
Germany,Dairy Products & Eggs,Average Revenue per Capita,Yogurt,USD (US$),Statista,49.29,42.33,43,44.71,49.08,47.46,49.42,54.39,57.86,60.02,61.86,63.75,65.99,66.39
Germany,Dairy Products & Eggs,Online Revenue Share,Offline,percent,Statista,,,,99.25,98.989,98.639,98.17,97.094,96.271,95.245,93.983,92.451,,
Germany,Dairy Products & Eggs,Online Revenue Share,Online,percent,Statista,,,,0.75,1.011,1.361,1.83,2.906,3.729,4.755,6.017,7.549,,
Germany,Dairy Products & Eggs,Mobile/Desktop Split,Desktop,percent,Statista,,,,61.915,59.836,58.199,56.781,56.208,55.333,54.777,54.332,53.888,,
Germany,Dairy Products & Eggs,Mobile/Desktop Split,Mobile,percent,Statista,,,,38.085,40.164,41.801,43.219,43.792,44.667,45.223,45.668,46.112,,
Germany,Dairy Products & Eggs,Volume,Total,million kilograms,Statista,"11,227.914","11,449.102","11,608.365","11,641.395","11,995.488","12,093.642","12,373.932","12,461.184","12,680.174","12,878.503","13,115.19","13,362.721","13,646.27","13,851.016"
Germany,Dairy Products & Eggs,Volume,Cheese,million kilograms,Statista,"1,467.185","1,507.405","1,539.629","1,553.832","1,610.655","1,632.128","1,657.091","1,668.319","1,695","1,718.565","1,749.011","1,778.746","1,811.13","1,857.249"
Germany,Dairy Products & Eggs,Volume,Eggs,million kilograms,Statista,997.966,"1,018.079","1,032.623","1,035.038","1,065.694","1,072.781","1,104.439","1,116.053","1,138.139","1,158.294","1,181.788","1,205.528","1,226.402","1,242.367"
Germany,Dairy Products & Eggs,Volume,Milk,million kilograms,Statista,"5,147.467","5,250.31","5,323.799","5,334.144","5,489.372","5,522.526","5,616.228","5,647.938","5,730.049","5,799.793","5,880.164","5,959.888","6,071.54","6,147.453"
Germany,Dairy Products & Eggs,Volume,Milk Substitutes,million kilograms,Statista,75.738,84.069,93.317,112.064,138,171,250,274.38,318.549,365.834,417.291,480.713,534.553,594.423
Germany,Dairy Products & Eggs,Volume,Other Dairy Products & Eggs,million kilograms,Statista,"2,367.578","2,410.97","2,440.9","2,441.965","2,509.391","2,521.032","2,560.439","2,570.434","2,604.47","2,633.865","2,672.319","2,710.429","2,756.996","2,782.178"
Germany,Dairy Products & Eggs,Volume,Yogurt,million kilograms,Statista,"1,171.979","1,178.268","1,178.096","1,164.351","1,182.376","1,174.176","1,185.736","1,184.06","1,193.968","1,202.15","1,214.617","1,227.416","1,245.649","1,227.345"
Germany,Dairy Products & Eggs,Volume Change,Total,percent,Statista,,1.97,1.391,0.285,3.042,0.818,2.318,0.705,1.757,1.564,1.838,1.887,2.122,1.5
Germany,Dairy Products & Eggs,Volume Change,Cheese,percent,Statista,,2.741,2.138,0.923,3.657,1.333,1.53,0.678,1.599,1.39,1.772,1.7,1.821,2.546
Germany,Dairy Products & Eggs,Volume Change,Eggs,percent,Statista,,2.015,1.429,0.234,2.962,0.665,2.951,1.052,1.979,1.771,2.028,2.009,1.731,1.302
Germany,Dairy Products & Eggs,Volume Change,Milk,percent,Statista,,1.998,1.4,0.194,2.91,0.604,1.697,0.565,1.454,1.217,1.386,1.356,1.873,1.25
Germany,Dairy Products & Eggs,Volume Change,Milk Substitutes,percent,Statista,,11,11,20.089,23.144,23.913,46.199,9.752,16.098,14.844,14.066,15.199,11.2,11.2
Germany,Dairy Products & Eggs,Volume Change,Other Dairy Products & Eggs,percent,Statista,,1.833,1.241,0.044,2.761,0.464,1.563,0.39,1.324,1.129,1.46,1.426,1.718,0.913
Germany,Dairy Products & Eggs,Volume Change,Yogurt,percent,Statista,,0.537,-0.015,-1.167,1.548,-0.694,0.985,-0.141,0.837,0.685,1.037,1.054,1.485,-1.469
Germany,Dairy Products & Eggs,Average Volume per Capita,Total,kilograms,Statista,137.85,139.986,141.232,140.837,144.308,144.804,147.689,148.523,151.164,153.728,156.812,160.004,163.58,166.186
Germany,Dairy Products & Eggs,Average Volume per Capita,Cheese,kilograms,Statista,18.013,18.431,18.732,18.798,19.376,19.542,19.778,19.885,20.207,20.514,20.912,21.299,21.71,22.284
Germany,Dairy Products & Eggs,Average Volume per Capita,Eggs,kilograms,Statista,12.252,12.448,12.563,12.522,12.82,12.845,13.182,13.302,13.568,13.826,14.13,14.435,14.701,14.906
Germany,Dairy Products & Eggs,Average Volume per Capita,Milk,kilograms,Statista,63.198,64.195,64.771,64.532,66.038,66.125,67.032,67.317,68.31,69.231,70.306,71.363,72.781,73.758
Germany,Dairy Products & Eggs,Average Volume per Capita,Milk Substitutes,kilograms,Statista,0.93,1.028,1.135,1.356,1.66,2.047,2.984,3.27,3.798,4.367,4.989,5.756,6.408,7.132
Germany,Dairy Products & Eggs,Average Volume per Capita,Other Dairy Products & Eggs,kilograms,Statista,29.068,29.479,29.697,29.543,30.188,30.186,30.56,30.637,31.049,31.44,31.952,32.454,33.049,33.381
Germany,Dairy Products & Eggs,Average Volume per Capita,Yogurt,kilograms,Statista,14.389,14.406,14.333,14.086,14.224,14.059,14.152,14.113,14.234,14.35,14.523,14.697,14.932,14.726
Germany,Food,Price per Unit,Average,USD (US$),Statista,3.94,3.358,3.408,3.589,3.883,3.777,3.896,4.3,4.552,4.673,4.764,4.855,4.948,5.065
Germany,Food,Price per Unit,Baby Food,USD (US$),Statista,7.107,6.1,6.231,6.597,7.174,7.023,7.264,8.017,8.455,8.701,8.86,9.022,9.194,9.379
Germany,Food,Price per Unit,Bread & Cereal Products,USD (US$),Statista,3.042,2.617,2.68,2.843,3.098,3.038,3.15,3.484,3.687,3.783,3.853,3.924,3.998,4.078
Germany,Food,Price per Unit,Confectionery & Snacks,USD (US$),Statista,8.235,6.935,6.978,7.255,7.751,7.44,7.627,8.332,8.791,9.048,9.227,9.409,9.585,9.803
Germany,Food,Price per Unit,Convenience Food,USD (US$),Statista,5.622,4.788,4.853,5.101,5.508,5.356,5.525,6.08,6.412,6.598,6.719,6.842,6.972,7.112
Germany,Food,Price per Unit,Dairy Products & Eggs,USD (US$),Statista,2.773,2.35,2.372,2.48,2.661,2.574,2.642,2.901,3.057,3.143,3.2,3.257,3.314,3.382
Germany,Food,Price per Unit,Fish & Seafood,USD (US$),Statista,12.68,11.03,11.41,12.22,13.46,13.33,13.86,15.39,16.52,16.87,17.22,17.58,17.92,18.4
Germany,Food,Price per Unit,Fruits & Nuts,USD (US$),Statista,3.553,3.087,3.19,3.416,3.755,3.714,3.842,4.254,4.477,4.606,4.694,4.784,4.87,4.976
Germany,Food,Price per Unit,Meat,USD (US$),Statista,9.488,7.991,8.009,8.332,8.911,8.578,8.817,9.636,10.15,10.43,10.61,10.8,11.01,11.19
Germany,Food,Price per Unit,Oils & Fats,USD (US$),Statista,6.973,5.927,5.997,6.293,6.786,6.589,6.769,7.428,8.381,8.205,8.349,8.502,8.659,8.866
Germany,Food,Price per Unit,Pet Food,USD (US$),Statista,2.63,2.27,2.33,2.47,2.7,2.65,2.734,3.306,3.487,3.588,3.654,3.721,3.791,3.868
Germany,Food,Price per Unit,Sauces & Spices,USD (US$),Statista,5.011,4.262,4.315,4.529,4.884,4.743,4.88,5.36,5.668,5.847,5.968,6.09,6.21,6.386
Germany,Food,Price per Unit,Spreads & Sweeteners,USD (US$),Statista,3.779,3.17,3.163,3.274,3.482,3.335,3.415,3.733,4.046,4.09,4.185,4.284,4.351,4.471
Germany,Food,Price per Unit,Vegetables,USD (US$),Statista,2.17,1.848,1.875,1.971,2.128,2.069,2.137,2.345,2.471,2.539,2.583,2.627,2.677,2.727
Germany,Food,Revenue by Segment,Total,billion USD (US$),Statista,190.2,165,169.4,177.7,196.5,191.8,201.4,222.6,226.3,245.5,254.9,264.4,274.5,283.2
Germany,Food,Revenue by Segment,Baby Food,billion USD (US$),Statista,0.555,0.48,0.492,0.516,0.571,0.556,0.583,0.644,0.687,0.714,0.736,0.76,0.786,0.793
