Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Poland,Milk,Price per Unit,Average,USD (US$),Statista,0.874,0.718,0.677,0.715,0.754,0.72,0.729,0.753,0.82,0.904,0.94,0.97,0.995,1.02
Poland,Milk,Revenue,Total,billion USD (US$),Statista,1.583,1.314,1.3,1.43,1.525,1.534,1.593,1.668,1.85,2.078,2.265,2.442,2.635,2.671
Poland,Milk,Revenue Change,Total,percent,Statista,,-16.993,-1.065,10,6.643,0.59,3.846,4.708,10.911,12.324,8.999,7.815,7.903,1.366
Poland,Milk,Average Revenue per Capita,Total,USD (US$),Statista,41.55,34.54,34.22,37.69,40.22,40.48,42.1,44.13,49.01,55.15,60.24,65.08,70.42,71.58
Poland,Milk,Online Revenue Share,Offline,percent,Statista,,,,99.916,99.904,99.891,99.864,99.847,99.828,99.806,99.781,99.752,,
Poland,Milk,Online Revenue Share,Online,percent,Statista,,,,0.084,0.096,0.109,0.136,0.153,0.172,0.194,0.219,0.248,,
Poland,Milk,Mobile/Desktop Split,Desktop,percent,Statista,,,,64.255,62.269,60.593,59.139,57.727,56.624,55.527,55.383,55.246,,
Poland,Milk,Mobile/Desktop Split,Mobile,percent,Statista,,,,35.745,37.731,39.407,40.861,42.273,43.376,44.473,44.617,44.754,,
Poland,Milk,Volume,Total,million kilograms,Statista,"1,811.073","1,829.118","1,920.104","2,000.123","2,023.26","2,131.509","2,186.133","2,215.677","2,256.935","2,297.607","2,409.444","2,517.987","2,648.713","2,619.22"
Poland,Milk,Volume Change,Total,percent,Statista,,0.996,4.974,4.167,1.157,5.35,2.563,1.351,1.862,1.802,4.868,4.505,5.192,-1.113
Poland,Milk,Average Volume per Capita,Total,kilograms,Statista,47.546,48.092,50.543,52.7,53.354,56.259,57.763,58.62,59.803,60.986,64.082,67.12,70.783,70.192
Poland,Milk,... in 3-liter packs,Milk,3 L packs,Statista,15.387,15.564,16.357,17.055,17.267,18.207,18.694,18.971,19.354,19.737,20.739,21.722,22.907,22.716
Poland,Milk,... in 1-liter packs,Milk,1 L packs,Statista,46.161,46.691,49.071,51.165,51.8,54.62,56.081,56.913,58.061,59.21,62.216,65.165,68.722,68.148
Poland,Milk,… in 0.5-liter packs,Milk,0.5 L packs,Statista,92.322,93.382,98.143,102.33,103.6,109.24,112.161,113.826,116.121,118.42,124.432,130.33,137.443,136.295
Poland,Dairy Products & Eggs,Price per Unit,Average,USD (US$),Statista,2.051,1.695,1.607,1.706,1.807,1.731,1.757,1.823,1.985,2.191,2.28,2.354,2.415,2.478
Poland,Dairy Products & Eggs,Price per Unit,Cheese,USD (US$),Statista,5.387,4.393,4.11,4.307,4.504,4.263,4.333,4.475,4.872,5.376,5.588,5.764,5.914,6.062
Poland,Dairy Products & Eggs,Price per Unit,Eggs,USD (US$),Statista,2.726,2.368,2.354,2.618,2.901,2.905,2.942,3.113,3.389,3.74,3.887,4.01,4.114,4.217
Poland,Dairy Products & Eggs,Price per Unit,Milk,USD (US$),Statista,0.874,0.718,0.677,0.715,0.754,0.72,0.729,0.753,0.82,0.904,0.94,0.97,0.995,1.02
Poland,Dairy Products & Eggs,Price per Unit,Milk Substitutes,USD (US$),Statista,1.8,1.726,1.975,1.964,2.25,1.813,1.775,2.038,2.219,2.448,2.545,2.625,2.694,2.761
Poland,Dairy Products & Eggs,Price per Unit,Other Dairy Products & Eggs,USD (US$),Statista,2.683,2.228,2.123,2.266,2.415,2.33,2.363,2.459,2.677,2.954,3.071,3.168,3.25,3.331
Poland,Dairy Products & Eggs,Price per Unit,Yogurt,USD (US$),Statista,1.747,1.434,1.351,1.425,1.501,1.431,1.449,1.496,1.629,1.797,1.868,1.927,1.977,2.026
Poland,Dairy Products & Eggs,Revenue,Total,billion USD (US$),Statista,7.463,6.219,6.182,6.831,7.317,7.388,7.717,8.123,9.024,10.16,11.12,12.03,12.97,13.17
Poland,Dairy Products & Eggs,Revenue,Cheese,billion USD (US$),Statista,2.866,2.388,2.373,2.623,2.809,2.836,2.959,3.11,3.463,3.907,4.284,4.643,5.015,5.192
Poland,Dairy Products & Eggs,Revenue,Eggs,billion USD (US$),Statista,0.718,0.599,0.596,0.659,0.706,0.714,0.746,0.785,0.856,0.949,1.025,1.097,1.17,1.086
Poland,Dairy Products & Eggs,Revenue,Milk,billion USD (US$),Statista,1.583,1.314,1.3,1.43,1.525,1.534,1.593,1.668,1.85,2.078,2.265,2.442,2.635,2.671
Poland,Dairy Products & Eggs,Revenue,Milk Substitutes,billion USD (US$),Statista,0.013,0.014,0.018,0.023,0.03,0.034,0.046,0.063,0.082,0.108,0.134,0.156,0.177,0.202
